archetype,learn_hands,repeat,equilibrium_ev,oracle_ev,guarded_ev,unguarded_ev
nit,60,14,1.966991001543794e-06,0.32402388865703613,0.009304476309486283,0.05786532188938359
nit,150,0,1.966991001543794e-06,0.32402388865703613,0.009748713751341585,0.06627250255688523
nit,150,1,1.966991001543794e-06,0.32402388865703613,0.009692173445222427,0.05952709252350408
nit,150,2,1.966991001543794e-06,0.32402388865703613,0.009606342140667551,0.0635640361473323
nit,150,3,1.966991001543794e-06,0.32402388865703613,0.008429944638419805,0.0320382006131868
nit,150,4,1.966991001543794e-06,0.32402388865703613,0.009744852680847793,0.06624489434664925
nit,150,5,1.966991001543794e-06,0.32402388865703613,0.009787480681906394,0.06482370243693102
nit,150,6,1.966991001543794e-06,0.32402388865703613,0.009740604184065152,0.06621451695993208
nit,150,7,1.966991001543794e-06,0.32402388865703613,0.009743894906937486,0.06623804602151137
nit,150,8,1.966991001543794e-06,0.32402388865703613,0.009745894876635179,0.05846388277995978
nit,150,9,1.966991001543794e-06,0.32402388865703613,0.009748586063177717,0.06627158952014034
nit,150,10,1.966991001543794e-06,0.32402388865703613,0.009748467375728632,0.06627074084409863
nit,150,11,1.966991001543794e-06,0.32402388865703613,0.00969611402060605,0.06589647352154443
nit,150,12,1.966991001543794e-06,0.32402388865703613,0.009748107072972093,0.06626816450027359
nit,150,13,1.966991001543794e-06,0.32402388865703613,0.009730921937537523,0.06614529167069097
nit,150,14,1.966991001543794e-06,0.32402388865703613,0.009741301149611692,0.06621950029028525
nit,400,0,1.966991001543794e-06,0.32402388865703613,0.009741841794663919,0.06622336594404715
nit,400,1,1.966991001543794e-06,0.32402388865703613,0.009748731221331235,0.06627262747647142
nit,400,2,1.966991001543794e-06,0.32402388865703613,0.009748731295868562,0.06627262800945216
nit,400,3,1.966991001543794e-06,0.32402388865703613,0.00974873129595627,0.06627262801008035
nit,400,4,1.966991001543794e-06,0.32402388865703613,0.009718090290641475,0.06605355811297532
nit,400,5,1.966991001543794e-06,0.32402388865703613,0.009748731290468715,0.06627262797084077
nit,400,6,1.966991001543794e-06,0.32402388865703613,0.009748731295988813,0.06627262801031258
nit,400,7,1.966991001543794e-06,0.32402388865703613,0.00974873129588831,0.06627262800959377
nit,400,8,1.966991001543794e-06,0.32402388865703613,0.009748731295953925,0.06627262801006298
nit,400,9,1.966991001543794e-06,0.32402388865703613,0.009748731295749796,0.06627262800860323
nit,400,10,1.966991001543794e-06,0.32402388865703613,0.009748731295908336,0.06627262800973699
nit,400,11,1.966991001543794e-06,0.32402388865703613,0.009748731295626534,0.06627262800772177
nit,400,12,1.966991001543794e-06,0.32402388865703613,0.009740068529474198,0.06621068702974607
nit,400,13,1.966991001543794e-06,0.32402388865703613,0.009748731233882757,0.06627262756622168
nit,400,14,1.966991001543794e-06,0.32402388865703613,0.009748731294783895,0.0662726280016971
nit,1000,0,1.966991001543794e-06,0.32402388865703613,0.009748731295992262,0.06627262801033726
nit,1000,1,1.966991001543794e-06,0.32402388865703613,0.009748731295992262,0.06627262801033726
nit,1000,2,1.966991001543794e-06,0.32402388865703613,0.009748731295992262,0.06627262801033726
nit,1000,3,1.966991001543794e-06,0.32402388865703613,0.009748731295992262,0.06627262801033726
nit,1000,4,1.966991001543794e-06,0.32402388865703613,0.009748731295992262,0.06627262801033726
nit,1000,5,1.966991001543794e-06,0.32402388865703613,0.009748731295992262,0.06627262801033726
nit,1000,6,1.966991001543794e-06,0.32402388865703613,0.009748731295992262,0.06627262801033726
nit,1000,7,1.966991001543794e-06,0.32402388865703613,0.009748731295992262,0.06627262801033726
nit,1000,8,1.966991001543794e-06,0.32402388865703613,0.009748731295992262,0.06627262801033726
nit,1000,9,1.966991001543794e-06,0.32402388865703613,0.009748731295992262,0.06627262801033726
nit,1000,10,1.966991001543794e-06,0.32402388865703613,0.009748731295992262,0.06627262801033726
nit,1000,11,1.966991001543794e-06,0.32402388865703613,0.009748731295992262,0.06627262801033726
nit,1000,12,1.966991001543794e-06,0.32402388865703613,0.009748731295992262,0.06627262801033726
nit,1000,13,1.966991001543794e-06,0.32402388865703613,0.009748731295992262,0.06627262801033726
nit,1000,14,1.966991001543794e-06,0.32402388865703613,0.009748731295992262,0.06627262801033726
calling_station,5,0,0.0008411457306438386,0.33786519063119325,0.0032120636232556357,0.0032120636232556357
calling_station,5,1,0.0008411457306438386,0.33786519063119325,0.005254403495447632,0.005254403495447632
calling_station,5,2,0.0008411457306438386,0.33786519063119325,0.009317632062824314,0.009317632062824314
calling_station,5,3,0.0008411457306438386,0.33786519063119325,0.0026645171798965403,0.0026645171798965403
calling_station,5,4,0.0008411457306438386,0.33786519063119325,0.013344034575102588,0.027772970648280906
calling_station,5,5,0.0008411457306438386,0.33786519063119325,0.014262883784358818,0.014262883784358818
calling_station,5,6,0.0008411457306438386,0.33786519063119325,0.004518368337653553,0.004518368337653553
calling_station,5,7,0.0008411457306438386,0.33786519063119325,0.01482589008327894,0.01482589008327894
calling_station,5,8,0.0008411457306438386,0.33786519063119325,0.012430162497223708,0.012430162497223708
calling_station,5,9,0.0008411457306438386,0.33786519063119325,0.0024156872896608714,0.0024156872896608714
calling_station,5,10,0.0008411457306438386,0.33786519063119325,0.019145667333390126,0.023129864629495088
calling_station,5,11,0.0008411457306438386,0.33786519063119325,0.0030253721275071976,0.0030253721275071976
calling_station,5,12,0.0008411457306438386,0.33786519063119325,0.004356637108938265,0.004356637108938265
