archetype,repeat,hands,correct,confidence,posterior_true
nit,27,100,False,0.6274591550344524,0.38499512955089166
nit,27,200,True,0.9996366204600384,0.9999435110077973
nit,27,400,True,0.9999999985453016,0.9999999998911908
nit,27,800,True,1.0,1.0
nit,28,5,True,0.23355509363436266,0.3792742718487618
nit,28,10,False,0.3462321895090118,0.3903237047863841
nit,28,25,True,0.5622610259466732,0.6207335869272019
nit,28,50,True,0.8763400051408318,0.952536214024142
nit,28,100,True,0.9960931506575129,0.999211468736734
nit,28,200,True,0.9998919202470854,0.9999849703214863
nit,28,400,True,0.9999999736729517,0.9999999977458345
nit,28,800,True,1.0,1.0
nit,29,5,True,0.11660599588302767,0.30291401765163495
nit,29,10,True,0.24527013083894111,0.42900946886089525
nit,29,25,True,0.6630901468390535,0.8467948863028631
nit,29,50,True,0.9444870133107588,0.9808645894368726
nit,29,100,True,0.9904487601850656,0.9975784213152168
nit,29,200,True,0.9999771316178049,0.9999970139666594
nit,29,400,True,0.9999999999976086,0.9999999999998599
nit,29,800,True,1.0,1.0
nit,30,5,True,0.12727303178680216,0.3324741154890623
nit,30,10,False,0.2948957166196525,0.20901387077878134
nit,30,25,False,0.3954915135095579,0.34971999088012123
nit,30,50,True,0.6175146391359952,0.7090674479805851
nit,30,100,True,0.6514713316994609,0.8101898299580802
nit,30,200,True,0.9969684967628899,0.9993732016992251
nit,30,400,True,0.9999999942777226,0.999999999544533
nit,30,800,True,1.0,1.0
nit,31,5,False,0.1746826496439874,0.058985815416940486
nit,31,10,False,0.3633440947030505,0.011096340217458216
nit,31,25,False,0.5729412057016317,0.020323584448255147
nit,31,50,False,0.45309361540707405,0.43609132126947464
nit,31,100,True,0.9763570292951143,0.9929332188623752
nit,31,200,True,0.9999946144514682,0.9999993845924106
nit,31,400,True,0.9999999999719532,0.9999999999982134
nit,31,800,True,1.0,1.0
nit,32,5,True,0.10676701824260992,0.33796978618983065
nit,32,10,True,0.17376361122428063,0.43074812111255806
nit,32,25,True,0.538379455388298,0.5953764511915963
nit,32,50,True,0.9149848008044098,0.9688138790259978
nit,32,100,True,0.977713917185792,0.993406415741804
nit,32,200,True,0.999942545560755,0.9999919102377852
nit,32,400,True,0.9999999999920731,0.9999999999995162
nit,32,800,True,1.0,1.0
nit,33,5,True,0.10826589174221124,0.35018123005780366
nit,33,10,True,0.2512090612360578,0.5033355500085
nit,33,25,True,0.831014790821462,0.9353814193419637
nit,33,50,True,0.9794383224051595,0.9944362959794417
nit,33,100,True,0.9963820147886672,0.9992531568576828
nit,33,200,True,0.9999835046575278,0.9999979489155532
nit,33,400,True,0.9999999999979622,0.9999999999998812
nit,33,800,True,1.0,1.0
nit,34,5,False,0.18149095592623188,0.22119764981009954
nit,34,10,False,0.5066081567294731,0.17282892771665972
nit,34,25,True,0.4864489954120872,0.6140025222186942
nit,34,50,True,0.8882277659399764,0.9546260155404204
nit,34,100,True,0.9969523735850044,0.9993612452282582
nit,34,200,True,0.9999977498275043,0.999999756065963
nit,34,400,True,0.9999999999997401,0.9999999999999858
nit,34,800,True,1.0,1.0
nit,35,5,True,0.2212968977508306,0.36039988091405994
nit,35,10,False,0.4888664673252232,0.44426286578564417
nit,35,25,True,0.8265445365269066,0.9168916586135438
nit,35,50,True,0.8828819615417806,0.9556447257868862
nit,35,100,True,0.937612121203821,0.9764776111017411
nit,35,200,True,0.9997098969878729,0.9999543358025873
nit,35,400,True,0.9999999914828963,0.9999999993092914
nit,35,800,True,1.0,1.0
nit,36,5,False,0.05135100676199533,0.1942502412335342
nit,36,10,False,0.2918761765360045,0.045650363572550035
nit,36,25,True,0.2179278956145454,0.3591573734539572
nit,36,50,True,0.6581051299129764,0.8435574806399289
nit,36,100,True,0.9697085240541997,0.9907392364963087
nit,36,200,True,0.9999709318569306,0.9999961781957348
nit,36,400,True,0.9999999999933182,0.9999999999996012
nit,36,800,True,1.0,1.0
nit,37,5,False,0.2751294147140395,0.033268673389516765
nit,37,10,False,0.2070966876478928,0.2826928883669716
nit,37,25,False,0.4167633881012951,0.12296305946495195
nit,37,50,True,0.3942017237878567,0.48969301097885676
nit,37,100,True,0.9552262497503679,0.9869549173446099
nit,37,200,True,0.9999991486413158,0.9999999134828982
nit,37,400,True,0.9999999999879987,0.999999999999257
nit,37,800,True,1.0,1.0
nit,38,5,True,0.15963291987835326,0.36662819733359275
nit,38,10,False,0.23754259968358749,0.34215060835679956
nit,38,25,True,0.5612235214610526,0.7359844272603542
nit,38,50,True,0.6939047534764912,0.8190080805218096
nit,38,100,True,0.9477338081637962,0.9811964532083948
nit,38,200,True,0.9999973662059466,0.9999997070071313
nit,38,400,True,0.9999999999973838,0.9999999999998463
nit,38,800,True,1.0,1.0
nit,39,5,True,0.176641211306804,0.3739175612355745
nit,39,10,False,0.24720127718905716,0.3382294148951807
nit,39,25,True,0.7720209461338667,0.891695913675858
nit,39,50,True,0.9551674727294,0.9867038916447469
nit,39,100,True,0.9626361925650053,0.9875757410184576
nit,39,200,True,0.9999875737859342,0.9999984538464292
nit,39,400,True,0.9999999999906078,0.9999999999994234
nit,39,800,True,1.0,1.0
