repeat,hand,decay,archetype,correct,confidence
0,1720,1.0,maniac,True,1.0
0,1720,0.999,maniac,True,1.0
0,1720,0.995,maniac,True,0.9999999997173791
0,1720,0.99,maniac,True,0.9999612081430768
0,1720,0.98,maniac,True,0.9913794372643654
0,1740,1.0,maniac,True,1.0
0,1740,0.999,maniac,True,1.0
0,1740,0.995,maniac,True,0.9999999977271447
0,1740,0.99,maniac,True,0.9997374999099554
0,1740,0.98,maniac,True,0.9536273830112767
0,1760,1.0,maniac,True,1.0
0,1760,0.999,maniac,True,1.0
0,1760,0.995,maniac,True,0.9999999967213611
0,1760,0.99,maniac,True,0.9997063347902024
0,1760,0.98,maniac,True,0.9621053913765053
0,1780,1.0,maniac,True,1.0
0,1780,0.999,maniac,True,1.0
0,1780,0.995,maniac,True,0.9999999559612159
0,1780,0.99,maniac,True,0.9975465933591464
0,1780,0.98,maniac,True,0.8373635075071708
0,1800,1.0,maniac,True,1.0
0,1800,0.999,maniac,True,1.0
0,1800,0.995,maniac,True,0.99999864397151
0,1800,0.99,maniac,True,0.9670713565066779
0,1800,0.98,maniac,True,0.5545623803241289
0,1820,1.0,maniac,True,1.0
0,1820,0.999,maniac,True,1.0
0,1820,0.995,maniac,True,0.9999998588683779
0,1820,0.99,maniac,True,0.9970334170159136
0,1820,0.98,maniac,True,0.9136970355261937
0,1840,1.0,maniac,True,1.0
0,1840,0.999,maniac,True,1.0
0,1840,0.995,maniac,True,0.9999999810035924
0,1840,0.99,maniac,True,0.9996124577786109
0,1840,0.98,maniac,True,0.9842695706447104
0,1860,1.0,maniac,True,1.0
0,1860,0.999,maniac,True,1.0
0,1860,0.995,maniac,True,0.9999999962802507
0,1860,0.99,maniac,True,0.9999213383844827
0,1860,0.98,maniac,True,0.9954282840921709
0,1880,1.0,maniac,True,1.0
0,1880,0.999,maniac,True,1.0
0,1880,0.995,maniac,True,0.9999999999839366
0,1880,0.99,maniac,True,0.9999994636485944
0,1880,0.98,maniac,True,0.9999211270850473
0,1900,1.0,maniac,True,1.0
0,1900,0.999,maniac,True,1.0
0,1900,0.995,maniac,True,0.9999999999887069
0,1900,0.99,maniac,True,0.999999312526813
0,1900,0.98,maniac,True,0.999719318474371
0,1920,1.0,maniac,True,1.0
0,1920,0.999,maniac,True,1.0
0,1920,0.995,maniac,True,0.9999999999114149
0,1920,0.99,maniac,True,0.9999932898059428
0,1920,0.98,maniac,True,0.9968907104693062
0,1940,1.0,maniac,True,1.0
0,1940,0.999,maniac,True,1.0
0,1940,0.995,maniac,True,0.9999999996017489
0,1940,0.99,maniac,True,0.9999676182101178
0,1940,0.98,maniac,True,0.9871999195617701
0,1960,1.0,maniac,True,1.0
0,1960,0.999,maniac,True,1.0
0,1960,0.995,maniac,True,0.9999999993152873
0,1960,0.99,maniac,True,0.9999459860842124
0,1960,0.98,maniac,True,0.9835665601376422
0,1980,1.0,maniac,True,1.0
0,1980,0.999,maniac,True,1.0
0,1980,0.995,maniac,True,0.9999999985406118
0,1980,0.99,maniac,True,0.9998986554815527
0,1980,0.98,maniac,True,0.9779230807163252
0,2000,1.0,maniac,True,1.0
0,2000,0.999,maniac,True,1.0
0,2000,0.995,maniac,True,0.9999999975445072
0,2000,0.99,maniac,True,0.9998486811701222
0,2000,0.98,maniac,True,0.974019212546325
0,2020,1.0,maniac,True,1.0
0,2020,0.999,maniac,True,1.0
0,2020,0.995,maniac,True,0.9999999838250327
0,2020,0.99,maniac,True,0.9992279033411301
0,2020,0.98,maniac,True,0.912773098464319
0,2040,1.0,maniac,True,1.0
0,2040,0.999,maniac,True,1.0
0,2040,0.995,maniac,True,0.9999999901037857
0,2040,0.99,maniac,True,0.9995695036952055
0,2040,0.98,maniac,True,0.9519732593177981
0,2060,1.0,maniac,True,1.0
0,2060,0.999,maniac,True,1.0
0,2060,0.995,maniac,True,0.999999997247826
0,2060,0.99,maniac,True,0.9998896999442161
0,2060,0.98,maniac,True,0.9882975400105717
0,2080,1.0,maniac,True,1.0
0,2080,0.999,maniac,True,1.0
0,2080,0.995,maniac,True,0.9999999976014651
0,2080,0.99,maniac,True,0.9999018774386403
0,2080,0.98,maniac,True,0.9879325066419055
0,2100,1.0,maniac,True,1.0
0,2100,0.999,maniac,True,1.0
0,2100,0.995,maniac,True,0.9999999766434936
0,2100,0.99,maniac,True,0.9992207921893884
0,2100,0.98,maniac,True,0.930106155323829
0,2120,1.0,maniac,True,1.0
0,2120,0.999,maniac,True,1.0
0,2120,0.995,maniac,True,0.9999999672214044
0,2120,0.99,maniac,True,0.9991187247112315
0,2120,0.98,maniac,True,0.9375676647493794
0,2140,1.0,maniac,True,1.0
0,2140,0.999,maniac,True,1.0
0,2140,0.995,maniac,True,0.9999999792675252
0,2140,0.99,maniac,True,0.999514412757225
0,2140,0.98,maniac,True,0.9670315194761437
0,2160,1.0,maniac,True,1.0
0,2160,0.999,maniac,True,1.0
0,2160,0.995,maniac,True,0.9999999949337458
0,2160,0.99,maniac,True,0.9998783357788898
0,2160,0.98,maniac,True,0.9898071107492997
0,2180,1.0,maniac,True,1.0
0,2180,0.999,maniac,True,1.0
0,2180,0.995,maniac,True,0.9999999812504673
0,2180,0.99,maniac,True,0.999626303502793
0,2180,0.98,maniac,True,0.9737980200193119
0,2200,1.0,maniac,True,1.0
0,2200,0.999,maniac,True,1.0
0,2200,0.995,maniac,True,0.9999999949453372
0,2200,0.99,maniac,True,0.9998932648955717
0,2200,0.98,maniac,True,0.9907592057664741
