hand,regime,true_archetype,map_estimate,correct,confidence,posterior_true,lambda_applied,window_chips_per_100,repeat
2960,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,-145.0,0
2980,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,10.0,0
3000,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,-70.0,0
3020,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,-75.0,0
3040,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,-50.0,0
3060,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,-40.0,0
3080,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,-35.0,0
3100,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,50.0,0
3120,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,-50.0,0
3140,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,30.0,0
3160,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,50.0,0
3180,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,-45.0,0
3200,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,-85.0,0
3220,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,5.0,0
3240,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,40.0,0
3260,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,60.0,0
3280,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,-55.0,0
3300,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,40.0,0
3320,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,-90.0,0
3340,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,-75.0,0
3360,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,65.0,0
3380,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,75.0,0
3400,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,-75.0,0
3420,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,45.0,0
3440,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,35.0,0
3460,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,-80.0,0
3480,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,-40.0,0
3500,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,-180.0,0
3520,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,145.0,0
3540,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,50.0,0
3560,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,55.0,0
3580,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,20.0,0
3600,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,5.0,0
3620,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,90.0,0
3640,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,-60.0,0
3660,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,65.0,0
3680,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,10.0,0
3700,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,-190.0,0
3720,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,-60.0,0
3740,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,25.0,0
3760,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,-45.0,0
3780,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,20.0,0
3800,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,165.0,0
3820,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,-90.0,0
3840,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,30.0,0
3860,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,75.0,0
3880,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,-20.0,0
3900,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,-85.0,0
3920,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,55.0,0
3940,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,30.0,0
3960,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,55.0,0
3980,after,nit,bluff_heavy,False,1.0,0.0,0.05192217045155677,-60.0,0
20,before,maniac,maniac,True,0.7009803680534804,0.8185248323685765,0.06442311458847415,0.0,1
40,before,maniac,bluff_heavy,False,0.5269256586391667,0.458021238932872,0.06200056146096378,-130.0,1
60,before,maniac,bluff_heavy,False,0.49145271687136227,0.34897692374291517,0.06245963514889139,-180.0,1
80,before,maniac,maniac,True,0.7346242300903066,0.8372086849153687,0.06458136438309484,-30.0,1
100,before,maniac,maniac,True,0.6623471407942036,0.7153610015675527,0.06471433756628996,-60.0,1
120,before,maniac,maniac,True,0.9543888533719179,0.9840768719790203,0.0583158744915999,90.0,1
140,before,maniac,maniac,True,0.7870303437957757,0.8725823903740869,0.06479441731868006,-120.0,1
160,before,maniac,maniac,True,0.6695325426823777,0.7209313569276411,0.06436706852703798,100.0,1
180,before,maniac,maniac,True,0.9974635734941597,0.999467717488329,0.058464548981065394,170.0,1
200,before,maniac,maniac,True,0.9980242267525329,0.9995986484527839,0.05850194564849011,110.0,1
220,before,maniac,maniac,True,0.9999022349241214,0.9999855787990626,0.05862545643540955,20.0,1
240,before,maniac,maniac,True,0.9999526308351477,0.99999343801244,0.058628683914808244,-120.0,1
260,before,maniac,maniac,True,0.9999635564288893,0.9999950599600259,0.05862938077891788,140.0,1
280,before,maniac,maniac,True,0.999965014236694,0.999995273361203,0.05862947365730031,-135.0,1
300,before,maniac,maniac,True,0.9999674391373381,0.9999956265822079,0.05862962808951809,-85.0,1
320,before,maniac,maniac,True,0.9999982289352963,0.9999998072308446,0.05863157841353284,-115.0,1
340,before,maniac,maniac,True,0.9999999038783869,0.9999999911892233,0.05863168300172874,-15.0,1
360,before,maniac,maniac,True,0.9999999966259018,0.9999999997378572,0.058631688736314885,-25.0,1
380,before,maniac,maniac,True,0.9999999969326326,0.9999999997627129,0.05863168875516157,-160.0,1
400,before,maniac,maniac,True,0.9999999992870326,0.9999999999482483,0.05863168889964215,-70.0,1
420,before,maniac,maniac,True,0.9999999988861727,0.9999999999175988,0.05863168887507555,170.0,1
440,before,maniac,maniac,True,0.9999999999768663,0.9999999999985325,0.05863168894183317,100.0,1
460,before,maniac,maniac,True,0.999999999997965,0.9999999999998814,0.05863168894311706,-170.0,1
